StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,Y S R ,OBULAVARIPALLE,NA,HORTICULTURE,Fruits,Papaya,Nutrient Management,FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN PAPAYA ,"RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE).పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి. 
RECOMMENDED TO SPRAY AGROMINIMAX @ 600 GRAMS PER 200 LITERS OF WATER PER ACRE (3 GRAMS PER 1 LITER OF WATER )
",2025-02-06T10:26:55.123,2025,2
ANDHRA PRADESH,Y S R ,OBULAVARIPALLE,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,farmer asked query on leaf folder management in paddy?,"RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE (PADAN), (CALDAN) 400 GRAMS/ 200 LITRES OF WATER / ACRE 
కార్టాప్ హైడ్రోక్లోరైడ్ 400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున  కలిపి ఒక ఎకరాకు పిచికారి చేయాలి   
",2025-02-06T18:19:10.927,2025,2
ANDHRA PRADESH,Y S R ,B KODUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,What is the range of drone in height?,Most consumer drones are limited to a maximum altitude of 400 feet (122 meters) above ground level by aviation regulations.,2025-02-07T12:19:38.717,2025,2
ANDHRA PRADESH,Y S R ,LAKKIREDDIPALLE,NA,HORTICULTURE,Fruits,Musk Melon,	Plant Protection	,"FARMER ASKED QUERY ABOUT SUCKING PEST MANAGEMENT IN MUSK MELON
","థయోమిథాక్జొమ్ (అక్టారా) 40 గ్రాములు / 200 లీటర్ల నీటికి చొప్పునకలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
వేప నూనె 1 లీటర్ / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి(5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి)",2025-02-08T17:10:20.53,2025,2
ANDHRA PRADESH,Y S R ,B KODUR,NA,AGRICULTURE,Millets,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),	Plant Protection	,FARMER ASKED QUERY ON CATERPILLAR MANAGEMENT IN PEARLMILLET,RECOMMENDED TO SPRAY  NOVALURON+INDOXACARB  (PLITHORA) 350 ML / 200 LITRES OF WATER / ACRE   నొవాల్యురాన్ + ఇండాక్సకార్బ్ (ప్లితోరా) 350 మిల్లి లీటర్లు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి ,2025-02-11T21:29:31.9,2025,2
ANDHRA PRADESH,Y S R ,CHITVEL,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Seeds,FARMER ASKED ABOUT SEED AVAILABILITY CONTACT NUMBER,"AGRICULTURE RESEARCH STATION , TIRUPATHI , CHITTOR
నువ్వులు - వ్యవసాయ పరిశోధనా స్థానం , TIRUPATHI , CHITTOR  - 0877201441 , 9701317333
",2025-02-12T09:44:59.897,2025,2
ANDHRA PRADESH,Y S R ,THONDUR,NA,HORTICULTURE,Fruits,Mosambi,Nursery Management,Farmer asked query about nutrient management in mosambi ?,RECOMMENDED TO SPRAY AGROMINIMAX @ 600 GRAMS PER 200 LITERS OF WATER PER ACRE (3 GRAMS PER 1 LITER OF WATER ),2025-02-12T17:33:23.393,2025,2
ANDHRA PRADESH,Y S R ,SIMHADRIPURAM,NA,AGRICULTURE,Others,Others,Government Schemes,ABANDON OUT CALL FROM KISAN CALL CENTRE,"ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్ కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్ చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే తిరిగి 1800-180-1551 కి కాల్ చేయండి.",2025-02-13T15:34:52.507,2025,2
ANDHRA PRADESH,Y S R ,PENDLIMARRI,NA,AGRICULTURE,Others,Others,Government Schemes,"ABANDONED OUT CALL FROM KISAN CALL CENTRE

","ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్  కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్  చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి.",2025-02-13T16:44:25.267,2025,2
ANDHRA PRADESH,Y S R ,PORUMAMILLA,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON NEW FARMER REGISTRATION ?,దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి.,2025-02-13T19:57:27,2025,2
ANDHRA PRADESH,Y S R ,OBULAVARIPALLE,NA,HORTICULTURE,Fruits,Mango,Nutrient Management,FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN MANGO ? ,RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 5 GRAMS/1 LITER OF WATER (1KG/ACRE/200 LITERS OF WATER)పొటాషియం  నైట్రేట్  13-0-45  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (కేజీ/ఎకరానికి)  +RECOMMENDED TO SPRAY BORAX  3 GRAMS /1 LITER OF WATER(600 GRAMS/200 LITRES OF WATER /ACRE)        బోరాక్స్ 3 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (600 గ్రాములు /ఎకరానికి),2025-02-15T09:12:16.35,2025,2
ANDHRA PRADESH,Y S R ,MUDDANUR,NA,AGRICULTURE,Others,Others,Government Schemes,ABANDON OUT CALL FROM KISAN CALL CENTRE," ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్ కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్ చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే తిరిగి 1800-180-1551 కి కాల్ చేయండి.
",2025-02-15T11:17:50.767,2025,2
ANDHRA PRADESH,Y S R ,PENDLIMARRI,NA,HORTICULTURE,Vegetables,Tomato,Nutrient Management,"FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN TOMATO
","RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45  5 GRAMS/1 LITER OF WATER (1KG/ACRE/200 LT OF WATER)
పొటాషియం  నైట్రేట్  13-0-45  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (కేజీ/ఎకరానికి)  
",2025-02-15T15:13:03.633,2025,2
ANDHRA PRADESH,Y S R ,PRODDATUR,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Weed Management,Farmer asked query about weed management in sesame ?,"పెండిమెథాలిన్ (స్టాంప్) 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
నువ్వులు విత్తిన 24-48 గంటలలో కలుపు మందు స్ప్రే చేసుకోవాలి.",2025-02-16T11:23:04.01,2025,2
ANDHRA PRADESH,Y S R ,PRODDATUR,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Sowing Time and Weather,Farmer asked query about sowing time of ground nut ?,వేరుశనగ ను వేసవి పంటగా  మార్చి - ఏప్రిల్ లో విత్తవచ్చు .,2025-02-16T11:25:32.12,2025,2
ANDHRA PRADESH,Y S R ,VALLUR,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,Farmer asked query about Leaf webber/ roller and capsule borer management in Gingelly ?,"క్వినాలోఫాస్( సిన్జేన్ట- ఏకలక్స్) 400 మీ.లి  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
",2025-02-17T12:42:19.787,2025,2
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Sowing Time and Weather,FARMER ASKED QUERY ABOUT SOWING TIME OF GREENGRAM ,RECOMMENDED TO SOW GREENGRAM IN FEBRUARY-MARCH ,2025-02-17T14:57:00.43,2025,2
ANDHRA PRADESH,Y S R ,CHAKRAYAPET,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA BENEFICIARY STATUS.,"You have not completed Ekyc. Please complete the Ekyc process.
After 2019 got online passbook holders are not eligible for PMKisan, Pls apply after 2024 & Consult ur RBK incharges",2025-02-17T16:42:37.48,2025,2
ANDHRA PRADESH,Y S R ,RAJUPALEM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON HOW TO APPLY FARMER REGISTRY,"
దయచేసి మీకు దగ్గరలో ఉన్న మీ RBK కేంద్రాన్ని సంప్రదించండి 
OR
https://trngfr.agristack.gov.in/farmer-registry-training-gj-ui-v1/#/FarmerSignupEkyc",2025-02-17T20:18:28.34,2025,2
ANDHRA PRADESH,Y S R ,CHAPADU,NA,AGRICULTURE,Pulses,Horse Gram (kulthi/kultha),Sowing Time and Weather,farmer asked query on sowing time of horse gram ?,"పంటకాలం/అనువైన సమయం
సాధారణంగా లేట్ ఖరిఫ్/రాబీకి ముందు మరియు రబీలో పండించవచ్చు. ఆగష్టు రెండవ పక్షం నుండి మొదలుకొని అక్టోబర్ మొదటి పక్షం వరకు వేసుకోవచ్చును",2025-02-18T09:02:38.637,2025,2
ANDHRA PRADESH,Y S R ,BADVEL,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT KISAN CREDIT CARD,"--1.కిసాన్ క్రెడిట్ కార్డ్ విత్తనాలు, ఎరువులు, పురుగుమందులు, నీటిపారుదల పదార్థాలు, వ్యవసాయ యంత్రాల పెర్చేజ్ వంటి వ్యవసాయ ఇన్‌పుట్‌ల కోసం ఉపయోగించబడుతుంది.
2.కిసాన్ క్రెడిట్ కార్డ్ గరిష్ట పరిమితి -5,00,000
3. వడ్డీ రేటు 7% (సమయ చెల్లింపు విషయంలో మనం చెల్లించగల వడ్డీ 4% మాత్రమే)
4.వాలిడిటీ ఎఫ్ కిసాన్ క్రెడిట్ కార్డ్ 5 సంవత్సరాలు 
5.అర్హతగల లబ్ధిదారులు: వ్యవసాయ భూమి యజమాని, కౌలు రైతు, ఎస్‌హెచ్‌జి గ్రూపులు, జాయింట్ లాయబుల్ గ్రూప్, పౌల్ట్రీ, ఫిషరీ, పశుసంవర్ధక
6.కిసాన్ క్రెడిట్ కార్డ్ డిస్పాచ్ వ్యవధి -2 నుండి 3 రోజులు",2025-02-18T10:54:36.543,2025,2
ANDHRA PRADESH,Y S R ,CHAPADU,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
",recommended to contact a.o ,2025-02-18T19:07:47.66,2025,2
ANDHRA PRADESH,Y S R ,CHAPADU,NA,AGRICULTURE,Others,Others,Government Schemes,ABANDONED OUT CALL FROM KISAN CALL CENTRE ,"ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్  కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్  చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి.
",2025-02-18T19:30:38.313,2025,2
ANDHRA PRADESH,Y S R ,SIMHADRIPURAM,NA,AGRICULTURE,Others,Others,Government Schemes,"
 FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENEFICIARY STATUS?
","your status is correct

2019  ఫిబ్రవరి కి ముందు  / ఫిబ్రవరి లో పొలం పాస్ పుస్తకం వస్తే PM KISAN కి అందరూ  అర్హులు.  2019  ఫిబ్రవరి తరువాత వస్తే పొలం పాస్ పుస్తకం తల్లితండ్రుల చనిపోయిన  తరువాత  వారికి పొలం వస్తే , వాళ్లు PM KISAN కి అర్హులు. మిగతా అందరూ దయచేసి ప్రధానమంత్రి కిసాన్ సమ్మాన్ నిధి పథకం గైడ్ లైన్స్  మారే  వరకు వేచి ఉండండి

",2025-02-19T10:16:28.087,2025,2
ANDHRA PRADESH,Y S R ,CHAPADU,NA,AGRICULTURE,Others,Others,Government Schemes,ANDHRA PRADESH ABANDONED OUT CALL FROM KISAN CALL CENTRE,"ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్ కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్ చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి.",2025-02-19T10:19:16.19,2025,2
ANDHRA PRADESH,Y S R ,MYLAVARAM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALLMENT RELATED ISSUE,దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి,2025-02-19T20:50:45.26,2025,2
ANDHRA PRADESH,Y S R ,MYLAVARAM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి,2025-02-20T10:04:07.513,2025,2
ANDHRA PRADESH,Y S R ,PENDLIMARRI,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,FARMER ASKED QUERY ABOUT BHARAT AGRISCIECE TOLL FREE NUMBER ?,SEARCH IN GOOGLE OR CONTACT VILLAGE AGRICULTURAL ASSISTANT(VAA).,2025-02-20T12:24:18.403,2025,2
ANDHRA PRADESH,Y S R ,THONDUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON  FARMER REGISTRATION?,దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి,2025-02-20T15:27:51.79,2025,2
ANDHRA PRADESH,Y S R ,VALLUR,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,FARMER ASKED QUERY ON ROOT ROT MANAGEMENT IN SESAMUM ,"RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX) 600  GM /200 LITRES OF WATER / ACRE (ROTS,WILT,BLI,L.S) 
కాపర్ ఆక్సీక్లోరైడ్ (బ్లెయిటాక్స్) 600 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
",2025-02-20T15:44:45.247,2025,2
ANDHRA PRADESH,Y S R ,VALLUR,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,FARMER ASKED QUERY ON  Leaf webber / roller MANAGEMENT IN SESAMUM,RECOMMENDED TO SPRAY  BAYER Fenos Quick (Flubendiamide 90 + Deltamethrin 60 SC) 100 ML/ACRE/200 LIT OF WATER ,2025-02-20T16:03:36.273,2025,2
ANDHRA PRADESH,Y S R ,RAYACHOTY,NA,HORTICULTURE,Fruits,Mango,	Plant Protection	,farmer asked query on sowing time of tamo and brinjal and bhindi ? ,"Recommended sowing time of tamo and brinjal and bhindi
Tomato - january - February 
Brinjal- February - march 
bhindi - january - February ",2025-02-22T10:23:29.053,2025,2
ANDHRA PRADESH,Y S R ,RAYACHOTY,NA,AGRICULTURE,Others,Others,Fertilizer Use and Availability,farmer asked query on fertilzer availability and complains ? ,Recommanded to conact AO and VAA 13	NTR	M.SWAPNA	8331056863,2025-02-22T10:25:34.943,2025,2
ANDHRA PRADESH,Y S R ,PENAGALUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ABOUT HOW TO DO UNIQUE FARMER REGISTRY ?,"--ప్రత్యేక రైతు రిజిస్ట్రీ కోసం అవసరమైన పత్రాలు 
ఆధార్ కార్డ్, రిజిస్టర్డ్ మొబైల్ నంబర్, LAND SURVEY NUMBER",2025-02-22T11:45:21.007,2025,2
ANDHRA PRADESH,Y S R ,LAKKIREDDIPALLE,NA,HORTICULTURE,Fruits,Citrus,	Plant Protection	,FARMER ASKED QUERY ABOUT GUMMOSIS MANAGEMENT IN CITRUS ?,"RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX) 600  GM /200 LITRES OF WATER / ACRE  
కాపర్ ఆక్సీక్లోరైడ్ (బ్లెయిటాక్స్) 600 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 

నీటిని డబల్ రింగ్ పద్దతిలో పెట్టాలి ( పిల్ల పాదు చెట్టు మొదలు నుండి 1. 5 అడుగుల దూరం లో ఉండాలి. )
బంక కారి కుళ్ళిన బెరడును పూర్తిగా గోకి  బోర్డో  పేస్ట్ లేదా కాపర్ ఆక్సీ క్లోరైడ్ పేస్ట్  లేదా మాంకోజెబ్ పేస్ట్ పూయాలి.
",2025-02-22T12:54:34.463,2025,2
ANDHRA PRADESH,Y S R ,KODUR,NA,HORTICULTURE,Fruits,Papaya,Nutrient Management,PAPAYA    NUTRIENT  MANAGEMENT ?,"
 RECOMMENDED TO SPRAY BORAX 3 GRAMS /1 LITR OF WATER  (600 GRAMS /ACRE/200 LITER WATER ) బోరాక్స్ 3 గ్రాములు / 1 లీటరు నీటిని పిచికారీ చేయడానికి సిఫార్సు చేయబడింది.
",2025-02-22T14:37:30.523,2025,2
ANDHRA PRADESH,Y S R ,BADVEL,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?,--దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి.,2025-02-22T15:09:29.38,2025,2
ANDHRA PRADESH,Y S R ,MYLAVARAM,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2025-02-22T15:10:38.963,2025,2
ANDHRA PRADESH,Y S R ,MYLAVARAM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALMENT RELATED OTP ISSUE,--PM KISAN OTP ISSUE - OTP వచ్చిన తర్వాత తిరిగి కాల్ చేయండి.,2025-02-24T17:15:00.57,2025,2
ANDHRA PRADESH,Y S R ,MYLAVARAM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"	ANNAMAYYA	- M.DHANA LAKSHMI -  9908235054
",2025-02-24T17:19:36.927,2025,2
ANDHRA PRADESH,Y S R ,LAKKIREDDIPALLE,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALLMENT RELATED ISSUE,REGISTRATION NUMBER : AP141889502,2025-02-25T11:33:00.397,2025,2
ANDHRA PRADESH,Y S R ,LAKKIREDDIPALLE,NA,AGRICULTURE,Others,Others,Government Schemes,farmer asked query farmer Registration scheme ?  ,Recommended to contact VAA or MAO ,2025-02-25T16:35:38.207,2025,2
ANDHRA PRADESH,Y S R ,PENAGALUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALMENT RELATED ISSUE,దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి,2025-02-25T18:48:27.887,2025,2
ANDHRA PRADESH,Y S R ,SAMBEPALLE,NA,AGRICULTURE,Others,Others,Government Schemes,"					
ABANDONED OUT CALL FROM KISAN CALL CENTRE","్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్  కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్  చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి.
",2025-02-26T20:48:53.773,2025,2
ANDHRA PRADESH,Y S R ,SAMBEPALLE,NA,AGRICULTURE,Others,Others,Government Schemes,"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?",CONTACT TECHNICAL OFFICERS - YSR KADAPA MANJULA 8331057411,2025-02-26T21:23:12.27,2025,2
ANDHRA PRADESH,Y S R ,0   ,NA,AGRICULTURE,Others,Others,Government Schemes,farmer asked query on   pm kisan beneficiary status ?,OTP has been sent at mobile no. XXXXXX9668 MEE SEVA FOR FURTHER DETAILS.                                                                   ,2025-02-26T21:55:57.823,2025,2
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,HORTICULTURE,Drug and Narcotics,Tobacco,Cultural Practices,Farmer asked query about sowing time of tobacco ?,పొగాకును అక్టోబర్ 15 నుండి నవంబర్ 15 లోపున నాట్లువేయుటకు అనుకూల సమయం. ,2025-02-27T10:29:57.52,2025,2
ANDHRA PRADESH,Y S R ,PRODDATUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,PADDY FERTILIZER SHEDULE MANAGEMENT ?,"RECOMMEDNED TO APPLY UREA 50 KG ,POTASH 13 KG ACRE ",2025-02-27T10:57:58.4,2025,2
ANDHRA PRADESH,Y S R ,LAKKIREDDIPALLE,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA  BENEFICIARY  STATUS MOBILE NUMBER ISSUE 
","దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి 
OR contact mee seva ",2025-02-27T11:12:33.53,2025,2
ANDHRA PRADESH,Y S R ,MYDUKUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALLMENT RELATED ISSUE,"Reason of ineligiblity : Land Ownership does not stand in his/her name.
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2025-02-27T11:32:24.02,2025,2
